SL,Companies,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1,"3M India Ltd, Bangalore",3,3,1,1,4,4,2,5,5,1,1,1,1,1
2,"A C C Machinery Co. Ltd, Mumbai",1,1,3,3,2,1,1,1,1,1,5,5,4,4
3,"Ashok Leyland Ltd, Chennai",5,5,2,2,5,4,4,1,1,3,3,3,3,3
4,"Atlas Cycles, Sonepat, Haryana",4,4,4,1,4,3,5,3,1,4,5,4,4,2
5,"Audco India Ltd, Mumbai",1,1,3,3,2,1,1,1,1,1,5,4,4,4
6,"Automotive Axles Ltd, Mysore",5,5,2,2,4,4,4,2,1,3,2,3,3,3
7,"Avon Cycles Ltd, Ludhiana",3,3,5,2,3,1,5,2,1,3,4,3,3,3
8,"B S Refrigerators Ltd, Mumbai",2,2,5,3,4,4,4,1,2,4,4,4,3,5
9,"Batliboi Environmental Engg. Ltd, Mumbai",2,2,3,3,2,2,2,1,1,1,4,4,4,4
10,"Cable Corporation of India, Mumbai",4,4,1,1,5,5,5,5,1,3,1,3,3,4
11,"CMC Ltd, Hyderabad",3,3,1,1,4,4,3,5,5,1,1,2,2,2
12,"Crompton Greaves Ltd, Mumbai",4,4,1,1,4,3,3,4,5,1,1,2,2,2
13,"Delphi-TVS Diesel Systems Ltd, Chennai",5,5,2,1,4,3,3,1,1,2,3,3,3,3
14,"D-Link (India) Ltd, Goa",3,3,1,1,4,4,4,5,4,1,1,1,1,1
15,"Eitcher Motors Ltd, Dhar, MP",1,1,1,1,3,3,3,1,1,1,3,1,5,4
16,"Ford India Ltd, Chennai",4,4,1,2,5,5,2,1,1,3,4,2,4,3
17,"G K N Driveshafts (India) Ltd., Faridabad",5,4,2,1,3,3,4,1,1,2,3,3,3,3
18,"Gabriel India Ltd, Pune",5,5,2,1,4,3,4,2,1,2,3,3,3,3
19,"Godrej Boyce Manufacturing Co. Ltd., Mumbai",2,2,3,3,4,5,1,1,1,3,4,4,4,4
20,"Guindy Machine Tools Ltd, Chennai",2,2,3,3,1,1,1,1,1,1,3,3,3,3
21,"Hindustan Shipyard Ltd, New Delhi",1,1,1,1,1,1,4,3,1,1,4,3,3,3
22,"International Auto Limited, Jamshedpur",5,3,1,1,2,3,2,2,2,3,4,3,3,2
23,"Jaiprakash Industries Ltd, Lucknow",1,2,3,3,2,1,1,1,1,1,4,4,4,4
24,"John Fowler (India) Ltd, Mumbai",2,2,4,4,1,1,2,1,2,2,5,5,5,5
25,"Kirloskar Copeland Ltd, Pune",2,1,3,3,2,1,1,1,1,1,4,5,4,5
26,"Lakshmi Machine Works Ltd, Coimbatore",1,1,3,3,1,1,2,1,1,1,4,5,4,4
27,"Marvel India Ltd, Chennai",2,1,4,3,2,1,2,1,2,1,4,3,4,4
28,"Menon Pistons Ltd, Kolhapur, Maharashtra",1,2,3,3,2,1,2,2,2,1,3,3,4,4
29,"National Engineering Industries Ltd, Kolkata",1,1,1,1,1,1,1,5,1,1,1,1,1,1
30,"Premier Instruments and Controls Ltd, Coimbatore",5,5,2,1,4,3,4,1,1,1,2,3,3,3
31,"Rico Auto Industries Ltd, Rewari, Haryana",5,5,1,1,4,4,4,1,1,2,3,3,4,4
32,"Rolta India Ltd, Mumbai",3,3,1,1,2,5,4,5,4,1,1,1,1,1
33,"RSB Transmission (I) Ltd, Jamshedpur",4,3,1,1,4,3,3,2,4,4,3,3,2,3
34,"Shriram Pistons and Rings Ltd, Gaziabad",5,5,1,1,4,3,3,1,2,2,3,3,3,3
35,"Sundaram fasteners Ltd, Chennai",2,3,2,3,3,1,2,3,3,4,4,4,2,3
36,"Swaraj Mazda Ltd, Ludhiana",4,4,1,1,5,4,2,2,2,3,4,4,4,4
37,"TAFE, Chennai",4,4,2,2,5,5,4,1,1,4,3,3,3,3
38,"Tata Honeywell Ltd, Mumbai",3,3,3,3,3,3,1,5,4,1,2,4,4,5
39,"Tata Motors, Jamshedpur",5,3,1,1,5,4,1,2,1,1,3,3,3,3
40,"TVS Electronics Ltd, Chennai",3,3,1,1,3,3,2,4,4,1,1,1,1,1
41,"Vijai Electrical Ltd, Hyderabad",3,3,2,2,3,3,1,3,3,1,3,3,3,3
